z,vp, vac,i,z,vp, vac,i,z,vp, vac,i,z,vp, vac,i
-40,-26.9,1.186E+03,0,-10,-8.29,1.389E+03,0,0.02,0,1496,-0.00015,-1.60,0,1520,-0.01649
-38,-25.5,1.188E+03,0,-12,-8.29,1.185E+03,0,-0.22,0,1492,-0.00275,-1.80,0,1178,-0.01649
-36,-24.3,1.190E+03,0,-14,-8.29,9.97E+02,0,-0.30,0,1492,-0.00366,-2.00,0,948,-0.01649
-34,-22.9,1.190E+03,0,-16,-8.29,8.80E+02,0,-0.53,0,1493,-0.00611,-2.20,0,762,-0.01649
-32,-21.8,1.187E+03,0,-18,-8.29,7.79E+02,0,-0.89,0,1492,-0.00794,-2.40,0,647,-0.01649
-30,-20.5,1.191E+03,0,-20,-8.29,7.04E+02,0,-1.10,0,1492,-0.01099,-2.60,0,542,-0.01649
-28,-19.02,1.185E+03,0,-22,-8.29,6.43E+02,0,-1.20,0,1490,-0.01282,-2.80,0,456,-0.01649
-26,-17.70,1.182E+03,0,-24,-8.29,5.85E+02,0,-1.40,0,1491,-0.01511,-3.00,0,404,-0.01649
-24,-16.72,1.188E+03,0,-26,-8.29,5.45E+02,0,-1.55,0,1491,-0.01664,-3.20,0,352,-0.01649
-22,-15.32,1.186E+03,0,-28,-8.29,5.05E+02,0,-1.80,0,1492,-0.01908,-3.40,0,314,-0.01649
-20,-14.02,1.187E+03,0,-32,-8.29,4.51E+02,0,-2.00,0,1493,-0.02122,-3.60,0,285,-0.01649
-18,-12.48,1.186E+03,0,-36,-8.29,3.95E+02,0,-2.18,0,1491,-0.02305,1.40,0,1362,0.01664
-16,-11.20,1.181E+03,0,11,8.29,1.396E+03,0,-2.43,0,1490,-0.02565,1.60,0,1047,0.01664
-14,-9.83,1.184E+03,0,12,8.29,1.179E+03,0,-2.55,0,1490,-0.02718,1.80,0,863,0.01664
-12,-8.52,1.188E+03,0,14,8.29,1.005E+03,0,-2.77,0,1490,-0.02916,2.00,0,715,0.01664
-10,-7.12,1.180E+03,0,16,8.29,9.27E+02,0,-3.00,0,1490,-0.03130,2.20,0,589,0.01664
-8,-5.64,1.185E+03,0,18,8.29,8.17E+02,0,-3.20,0,1490,-0.03344,2.40,0,505,0.01664
-6,-4.20,1.185E+03,0,20,8.29,7.47E+02,0,-3.36,0,1494,-0.03496,2.60,0,431,0.01664
-4,-2.89,1.184E+03,0,22,8.29,6.79E+02,0,-3.62,0,1495,-0.03771,2.80,0,381,0.01664
-2,-1.50,1.183E+03,0,24,8.29,6.25E+02,0,-3.77,0,1493,-0.03924,3.00,0,334,0.01664
0,-0.22,1.182E+03,0,28,8.29,5.33E+02,0,-4.00,0,1494,-0.04137,3.20,0,303,0.01664
2,1.45,1.185E+03,0,32,8.29,4.67E+02,0,0.26,0,1494,0.00183,3.40,0,275,0.01664
4,2.99,1.188E+03,0,36,8.29,4.08E+02,0,0.37,0,1494,0.00305,,,,
6,4.33,1.185E+03,0,,,,,0.60,0,1493,0.00534,,,,
8,5.55,1.186E+03,0,,,,,0.82,0,1493,0.00763,,,,
10,7.02,1.182E+03,0,,,,,1.00,0,1494,0.00977,,,,
12,8.48,1.183E+03,0,,,,,1.17,0,1494,0.01160,,,,
14,9.84,1.181E+03,0,,,,,1.42,0,1493,0.01359,,,,
16,11.09,1.182E+03,0,,,,,1.59,0,1494,0.01573,,,,
18,12.37,1.183E+03,0,,,,,1.77,0,1493,0.01786,,,,
20,13.80,1.182E+03,0,,,,,1.98,0,1493,0.01985,,,,
22,15.15,1.180E+03,0,,,,,2.21,0,1492,0.02244,,,,
24,16.78,1.185E+03,0,,,,,2.41,0,1490,0.02382,,,,
26,17.98,1.185E+03,0,,,,,2.63,0,1490,0.02595,,,,
28,18.93,1.184E+03,0,,,,,2.80,0,1491,0.02763,,,,
30,20.1,1.188E+03,0,,,,,3.02,0,1493,0.02992,,,,
32,21.8,1.187E+03,0,,,,,3.18,0,1492,0.03160,,,,
34,22.8,1.183E+03,0,,,,,3.34,0,1492,0.03359,,,,
36,24.0,1.184E+03,0,,,,,3.62,0,1493,0.03588,,,,
38,25.4,1.183E+03,0,,,,,3.77,0,1492,0.03771,,,,
40,26.6,1.183E+03,0,,,,,4.00,0,1493,0.03985,,,,
