,x (mm),alfa (1/m),beta (T/A)
0,0.0,0,0
1,0.001,3.647950963077996,0
2,0.002,3.7533156704732904,0
3,0.003,3.915169408096812,0
4,0.004,4.116656997199688,0
5,0.005,4.459302782477392,0
6,0.006,4.836649831793754,0
7,0.007,5.342344863117658,0
8,0.008,5.965305637135659,0
9,0.009000000000000001,6.562816048905912,0
10,0.01,7.133760194536232,0
11,0.011,8.284715794512934,0
12,0.012,9.49299699264304,0
13,0.013000000000000001,10.658615420433035,0
14,0.014,11.82554692824653,0
15,0.015,13.450771013060647,0
16,0.016,16.160607696467817,0
17,0.017,18.611217234643185,0
18,0.018000000000000002,21.874479518440626,0
19,0.019,25.499358216616486,0
20,0.02,31.581451255688822,0
21,0.021,44.602482263128564,0
22,0.022,66.9961680919597,0
23,0.023,109.65241354374147,0
24,0.024,212.1184930326259,0
25,0.025,642.179104692159,0
26,0.026000000000000002,712.942880564313,0
27,0.027,714.2813099380396,0
28,0.028,714.2854351003895,0
29,0.029,714.2857381214211,0
30,0.03,714.2856157857269,0
31,0.031,714.2821140250095,0
32,0.032,713.9633948357834,0
33,0.033,699.9035042161789,0
34,0.034,619.3521024821323,0
35,0.035,539.848158084244,0
36,0.036000000000000004,479.7389889888437,0
37,0.037,433.91386196967704,0
38,0.038,394.803507184233,0
39,0.039,362.63761210871917,0
40,0.04,335.23359895583656,0
41,0.041,311.05059193996425,0
42,0.042,291.1246633602526,0
43,0.043000000000000003,272.7409598366113,0
44,0.044,255.70670109426393,0
45,0.045,243.5274610146951,0
46,0.046,229.5861901732952,0
47,0.047,219.34295350856218,0
48,0.048,207.47734667786222,0
49,0.049,199.17171905184733,0
50,0.05,190.31546195978768,0
51,0.051000000000000004,181.32026643771562,0
52,0.052000000000000005,173.37913627141606,0
53,0.053,161.4012920277558,0
54,0.054,143.73496916223954,-0.0010633427565392229
55,0.055,125.35014516590694,-0.0008950560362172914
56,0.056,106.01648159999988,-0.0006513857142856957
57,0.057,79.22742078957403,-0.00039933943661969967
58,0.058,56.501513198723295,-8.494325955732044e-05
59,0.059000000000000004,45.083828915600336,0.00023638068410465136
60,0.06,36.39250674733069,0.0006788487927565695
61,0.061,31.750937749507578,0.0011347773641851408
62,0.062,28.31281692905334,0.0017123173038229769
63,0.063,24.986590398529433,0.002303369617706277
64,0.064,21.681200972385177,0.00294777364185115
65,0.065,18.256137406163592,0.00359810563380286
66,0.066,15.019917453306013,0.004388336016096632
67,0.067,11.762323155344797,0.005194110663983956
68,0.068,10.247694404627659,0.006088472837022192
69,0.069,9.439554225958505,0.0069926780684105225
70,0.07,8.738911572499992,0.0079279034205232
71,0.07100000000000001,8.038281435650866,0.008866575452716359
72,0.07200000000000001,7.320135796056847,0.009874078470825016
73,0.073,6.369900762787661,0.010889229376257598
74,0.074,5.328208187622487,0.01199340241448698
75,0.075,4.245435184034673,0.013107466800804888
76,0.076,3.5964182820563657,0.014095902414486973
77,0.077,3.246815596348842,0.015070379275653975
78,0.078,2.93200297954139,0.016006420523138883
79,0.079,2.609737560198659,0.01693819114688134
80,0.08,2.2751328355706395,0.017733494969818957
81,0.081,1.9578039956115527,0.01851363581488938
82,0.082,1.6920075314819008,0.019268940643863218
83,0.083,1.535493282884193,0.020021485915492996
84,0.084,1.3355363128707716,0.02037916297786722
85,0.085,1.1791839619197786,0.02069296579476863
86,0.08600000000000001,1.0231065179621877,0.0209959758551308
87,0.08700000000000001,0.8874284496262238,0.021297786720321947
88,0.088,0.772755350190577,0.021327967806841045
89,0.089,0.658114058056221,0.021327967806841045
90,0.09,0.5589346153559044,0.02114688128772635
91,0.091,0.5064510582768296,0.02094567404426558
